"codigo_ibge","nome","uf"
"5000203","Água Clara","MS"
"5000252","Alcinópolis","MS"
"5000609","Amambai","MS"
"5000708","Anastácio","MS"
"5000807","Anaurilândia","MS"
"5000856","Angélica","MS"
"5000906","Antônio João","MS"
"5001003","Aparecida do Taboado","MS"
"5001102","Aquidauana","MS"
"5001243","Aral Moreira","MS"
"5001508","Bandeirantes","MS"
"5001904","Bataguassu","MS"
"5002001","Batayporã","MS"
"5002100","Bela Vista","MS"
"5002159","Bodoquena","MS"
"5002209","Bonito","MS"
"5002308","Brasilândia","MS"
"5002407","Caarapó","MS"
"5002605","Camapuã","MS"
"5002704","Campo Grande","MS"
"5002803","Caracol","MS"
"5002902","Cassilândia","MS"
"5002951","Chapadão do Sul","MS"
"5003108","Corguinho","MS"
"5003157","Coronel Sapucaia","MS"
"5003207","Corumbá","MS"
"5003256","Costa Rica","MS"
"5003306","Coxim","MS"
"5003454","Deodápolis","MS"
"5003488","Dois Irmãos do Buriti","MS"
"5003504","Douradina","MS"
"5003702","Dourados","MS"
"5003751","Eldorado","MS"
"5003801","Fátima do Sul","MS"
"5003900","Figueirão","MS"
"5004007","Glória de Dourados","MS"
"5004106","Guia Lopes da Laguna","MS"
"5004304","Iguatemi","MS"
"5004403","Inocência","MS"
"5004502","Itaporã","MS"
"5004601","Itaquiraí","MS"
"5004700","Ivinhema","MS"
"5004809","Japorã","MS"
"5004908","Jaraguari","MS"
"5005004","Jardim","MS"
"5005103","Jateí","MS"
"5005152","Juti","MS"
"5005202","Ladário","MS"
"5005251","Laguna Carapã","MS"
"5005400","Maracaju","MS"
"5005608","Miranda","MS"
"5005681","Mundo Novo","MS"
"5005707","Naviraí","MS"
"5005806","Nioaque","MS"
"5006002","Nova Alvorada do Sul","MS"
"5006200","Nova Andradina","MS"
"5006259","Novo Horizonte do Sul","MS"
"5006275","Paraíso das Águas","MS"
"5006309","Paranaíba","MS"
"5006358","Paranhos","MS"
"5006408","Pedro Gomes","MS"
"5006606","Ponta Porã","MS"
"5006903","Porto Murtinho","MS"
"5007109","Ribas do Rio Pardo","MS"
"5007208","Rio Brilhante","MS"
"5007307","Rio Negro","MS"
"5007406","Rio Verde de Mato Grosso","MS"
"5007505","Rochedo","MS"
"5007554","Santa Rita do Pardo","MS"
"5007695","São Gabriel do Oeste","MS"
"5007802","Selvíria","MS"
"5007703","Sete Quedas","MS"
"5007901","Sidrolândia","MS"
"5007935","Sonora","MS"
"5007950","Tacuru","MS"
"5007976","Taquarussu","MS"
"5008008","Terenos","MS"
"5008305","Três Lagoas","MS"
"5008404","Vicentina","MS"
